"year","zip5","denom","cases"
2018,"88101",1,0
2016,"91791",1,0
2018,"60085",2,0
2017,"85224",1,0
2022,"78564",105,0
2018,"79423",15479,41
2016,"20159",6,0
2021,"80401",1,0
2018,"27705",1,0
2018,"73013",1,0
2019,"40229",1,0
2018,"33436",1,0
2019,"77844",1,0
2016,"79924",33159,52
2018,"90036",2,0
2018,"30515",1,0
2021,"75123",582,1
2021,"14075",1,0
2019,"62918",1,0
2018,"52651",1,0
2022,"76804",292,1
2019,"76637",357,1
2016,"39301",1,0
2020,"87111",3,0
2020,"79022",3862,3
2016,"78730",3062,2
2019,"75860",3153,4
2020,"27596",1,0
2018,"06443",1,0
2020,"77487",331,2
2018,"79749",90,0
2019,"90503",1,0
2021,"71861",1,0
2017,"27215",2,0
2019,"75447",434,2
2017,"72015",2,0
2017,"77480",3609,7
2018,"90063",1,0
2021,"78350",1,0
2019,"66109",1,0
2022,"79001",25,0
2021,"75227",31271,34
2022,"79848",126,0
2018,"75209",6118,17
2020,"77068",5789,11
2020,"76702",1000,4
2017,"77233",792,3
2016,"79411",3817,6
2020,"75120",332,0
2016,"35115",1,0
2021,"78710",1,0
2021,"78210",22801,10
2018,"61275",1,0
2017,"75645",5182,11
2019,"77008",10135,21
2022,"76525",245,1
2018,"79098",188,0
2019,"78956",3053,2
2020,"70123",1,0
2021,"75964",10685,11
2017,"78255",4771,9
2022,"77091",10281,10
2017,"90272",1,0
2022,"76266",2676,1
2017,"38342",1,0
2017,"77665",3480,5
2018,"35404",1,0
2020,"76862",104,1
2019,"43229",3,0
2016,"75978",114,0
2018,"35406",2,0
2017,"75425",55,0
2019,"65714",1,0
2019,"93551",1,0
2016,"48332",2,0
2020,"78041",23839,20
2020,"75046",291,0
2019,"39452",1,0
2019,"99999",64,0
2021,"44709",1,0
2020,"28723",1,0
2022,"76882",40,0
2018,"92115",1,0
2016,"71129",1,0
2020,"75853",478,1
2019,"76703",564,1
2021,"70043",1,0
2019,"78852",32521,12
2018,"43219",1,0
2019,"92505",1,0
2019,"75426",3453,7
2017,"78641",25502,48
2018,"75964",10298,12
2016,"78264",8522,6
2019,"34698",2,0
2020,"10538",1,0
2022,"78505",361,0
2016,"78010",1783,2
2022,"75772",23,0
2022,"75134",6898,5
2022,"75132",56,0
2021,"40502",1,0
2018,"19111",1,0
2018,"17112",1,0
2018,"78559",7359,6
2021,"74804",1,0
2018,"97007",2,0
2016,"79108",5605,11
2021,"79776",11,0
2017,"79012",283,1
2018,"77412",141,0
2020,"29803",1,0
2016,"79854",71,0
2016,"76908",6,0
2016,"73844",1,0
2018,"68064",1,0
2016,"77587",8797,4
2018,"77426",1062,4
2017,"75939",2473,1
2019,"75415",98,0
2019,"43021",1,0
2018,"88202",1,0
2019,"46142",1,0
2021,"75435",678,3
2017,"79381",451,1
2016,"76016",14879,35
2021,"75161",4347,9
2017,"98503",1,0
2016,"75937",525,0
2017,"34491",1,0
2020,"23602",1,0
2021,"76461",51,0
2016,"77950",99,0
2017,"76870",82,0
2022,"78681",4559,2
2016,"75660",237,1
2016,"75755",2871,8
2020,"75966",2880,4
2019,"78722",1785,9
2022,"75651",596,0
2018,"79100",2,0
2017,"75166",1662,2
2019,"73939",2,0
2017,"76472",795,4
2020,"85373",1,0
2022,"78834",2972,1
2020,"07107",1,0
2017,"76634",4036,10
2016,"79532",393,2
2022,"79704",118,0
2019,"30528",1,0
2016,"91744",1,0
2020,"77013",7997,9
2017,"79606",9930,24
2017,"30533",1,0
2019,"60558",4,0
2021,"75021",5457,12
2021,"78717",8890,18
2021,"75420",597,0
2018,"79998",4,0
2018,"79013",1278,0
2017,"92301",1,0
2016,"79711",107,0
2019,"20784",1,0
2018,"78050",613,0
2016,"98584",1,0
2021,"21042",1,0
2022,"79946",15,0
2017,"48911",1,0
2018,"96094",1,0
2019,"76449",1290,9
2021,"75633",7822,17
2019,"78280",79,0
2021,"76634",4247,12
2020,"79563",713,3
2020,"45406",1,0
2020,"79708",378,0
2016,"79343",835,0
2020,"98038",1,0
2019,"71827",4,0
2019,"94539",1,0
2016,"62035",1,0
2017,"85053",1,0
2016,"79452",451,0
2017,"78585",185,0
2019,"75470",114,0
2019,"77572",319,0
2016,"75558",748,1
2020,"85615",1,0
2020,"79258",18,0
2019,"75450",89,0
2019,"75147",4864,13
2017,"77876",203,0
2016,"85032",1,0
2022,"78701",725,1
2020,"33076",1,0
2016,"76271",678,2
2017,"03446",1,0
2021,"75312",1,0
2022,"75313",101,0
2017,"75850",289,0
2021,"76632",1000,2
2016,"77873",654,0
2022,"76115",8405,2
2016,"46563",1,0
2019,"76505",4,0
2018,"76180",17809,37
2018,"80863",2,0
2018,"79078",157,0
2020,"84404",1,1
2021,"79114",702,0
2021,"24401",2,0
2021,"70301",1,0
2017,"76365",2602,12
2019,"75435",602,2
2016,"75574",814,1
2019,"80525",1,0
2016,"77448",360,0
2016,"78651",9,0
2017,"79369",50,0
2020,"75902",606,3
2019,"74804",2,0
2021,"92262",1,0
2019,"79120",596,2
2016,"77039",14855,8
2022,"76041",91,0
2020,"73019",1,0
2017,"36804",1,0
2019,"56466",2,0
2020,"87123",1,0
2018,"79703",8603,18
2017,"77536",13598,18
2021,"79243",31,2
2018,"20695",1,0
2018,"60411",1,0
2021,"76084",5337,8
2016,"75382",318,0
2019,"76239",462,3
2018,"75166",1703,4
2017,"75602",13232,27
2021,"76874",42,0
2020,"75833",1956,5
2017,"79776",8,0
2018,"79104",3987,5
2020,"75429",200,0
2020,"78760",407,0
2017,"79995",679,1
2019,"63118",2,0
2018,"79056",28,0
2016,"79510",3976,10
2018,"79373",1661,3
2022,"77864",2344,1
2019,"76534",1346,4
2018,"77507",70,0
2021,"77362",3082,4
2016,"32440",1,0
2021,"71858",6,0
2019,"91214",1,0
2021,"94602",1,0
2019,"22193",1,0
2020,"77995",5437,6
2019,"79045",9388,14
2018,"37343",2,0
2016,"78154",14434,35
2022,"79311",788,3
2021,"22205",2,0
2019,"75114",2632,1
2018,"53094",3,0
2018,"11386",1,0
2021,"75089",13461,23
2019,"48423",1,0
2020,"74764",5,0
2016,"44833",1,0
2018,"79606",9348,17
2022,"76875",66,0
2021,"80015",1,0
2020,"29926",1,0
2016,"75218",9538,19
2016,"19936",1,0
2016,"76051",16609,39
2022,"75435",268,0
2016,"77831",1871,6
2016,"72802",1,0
2017,"60164",1,0
2016,"75157",179,0
2017,"79953",116,0
2017,"97202",1,0
2020,"78054",236,0
2016,"97230",1,0
2019,"33616",1,0
2022,"77856",988,0
2020,"77973",16,0
2020,"77359",439,0
2019,"75493",319,0
2021,"38401",1,0
2019,"77506",18134,15
2022,"75929",309,2
2016,"71423",1,0
2018,"75651",1249,1
2021,"77336",6723,10
2020,"77406",18112,32
2019,"75428",4423,11
2018,"20036",1,0
2016,"78104",1425,0
2019,"76579",2274,8
2022,"75938",759,0
2017,"85658",1,0
2018,"77575",8071,10
2017,"78833",1103,1
2016,"32926",1,0
2019,"77068",5803,18
2020,"63401",1,0
2021,"78836",57,0
2017,"79251",24,0
2018,"75045",220,1
2020,"78412",18745,19
2018,"75504",252,2
2021,"70601",4,0
2017,"78260",9880,16
2021,"77212",1,0
2022,"78028",7115,7
2021,"78641",29119,58
2019,"75503",11293,40
2020,"70663",1,0
2020,"77374",174,2
2016,"79383",57,0
2020,"84067",1,0
